Consolidated Secondary Vegetation,Recovery to Secondary Vegetation,year
0,0,1985
20.1,79.9,1986
19,81,1987
57.2,42.8,1988
72.1,27.9,1989
74.6,25.4,1990
78.4,21.6,1991
81.4,18.6,1992
84.5,15.5,1993
86.3,13.7,1994
85.7,14.3,1995
87.6,12.4,1996
86.5,13.5,1997
79.5,20.5,1998
88.5,11.5,1999
85.8,14.2,2000
88.1,11.9,2001
90.3,9.7,2002
90.1,9.9,2003
90.7,9.3,2004
89.5,10.5,2005
91.2,8.8,2006
91,9,2007
90.3,9.7,2008
92.6,7.4,2009
90.1,9.9,2010
92,8,2011
90.2,9.8,2012
90.6,9.4,2013
90.2,9.8,2014
90,10,2015
91.7,8.3,2016
92.6,7.4,2017
93.5,6.5,2018
93.1,6.9,2019
93.7,6.3,2020
93.8,6.2,2021
93,7,2022
100,0,2023
100,0,2024
