Primary Vegetation Suppression,Secondary Vegetation Suppression,year
0,0,1985
0,0,1986
100,0,1987
100,0,1988
97.5,2.5,1989
82.2,17.8,1990
70.2,29.8,1991
60.7,39.3,1992
55.2,44.8,1993
54.4,45.6,1994
52,48,1995
50.4,49.6,1996
51.3,48.7,1997
65.8,34.2,1998
49.8,50.2,1999
46.5,53.5,2000
45.9,54.1,2001
44.3,55.7,2002
43.7,56.3,2003
41.1,58.9,2004
45.2,54.8,2005
44,56,2006
43.6,56.4,2007
45.4,54.6,2008
43.2,56.8,2009
42.6,57.4,2010
40.1,59.9,2011
40.1,59.9,2012
36.4,63.6,2013
37.8,62.2,2014
36.6,63.4,2015
33.1,66.9,2016
31.6,68.4,2017
25.5,74.5,2018
25.3,74.7,2019
23.6,76.4,2020
23.1,76.9,2021
23,77,2022
23,77,2023
63.4,36.6,2024
